Gender,BMCT_tot,MI_avg_amax,MK_avg_amax,ME_avg_amax,mech_int_avg,mech_exp_avg,Mech_SE_avg,Masculinity_avg,Femininity_avg,Gender_Role,ST_Endorse_avg,female_STend_avg,male_STend_avg
0,29,1.25,1.2,1,1.4,1.125,2.125,3.75,5.8,-2.05,3.7,4.2,3.2
0,40,2,3.2,1.8,2.8,2.333333333,2.875,4.75,5.65,-0.9,2.5,2.8,2.2
0,41,2.25,1.25,1.8,2.2,1.5,1.25,4.95,5.5,-0.55,3.4,3.8,3
0,29,2.75,1.8,3,3.2,2.333333333,2.375,5.3,5.55,-0.25,1.8,1.8,1.8
0,40,2.25,1.8,2,2.4,1.888888889,1.5,4.5,5.65,-1.15,3,3.4,2.6
0,40,4.25,3.4,4.2,3.8,3.777777778,4,5.6,4.8,0.8,2.6,2.8,2.4
0,34,3,3.2,3.2,2.8,3.222222222,3.5,4.263157895,4.368421053,-0.105263158,2.5,3.2,1.8
0,47,2.5,3,2.8,2,2.888888889,2,4.65,4.95,-0.3,2.8,3.4,2.2
0,36,2.25,1.4,1.4,2,1.444444444,3.75,5.5,5.7,-0.2,1.9,2,1.8
0,40,2.75,2.8,3.2,2.4,3,5.25,5.3,4.75,0.55,2.7,3.4,2
0,38,2,3.2,2,2.4,2.444444444,4.125,5.3,5.35,-0.05,3.5,4.2,2.8
0,35,2.75,2.8,2.4,3,2.444444444,4,5.25,5.45,-0.2,2.1,2.4,1.8
0,24,3.75,4.2,4,3.6,4.111111111,5,5.9,5.95,-0.05,3.1,4.6,1.6
0,39,2.5,1.8,2.8,2.4,2.222222222,3.75,4.736842105,5.65,-0.913157895,1.6,1.8,1.4
0,39,3,3.2,3.8,2.8,3.555555556,4.125,5.6,5.7,-0.1,3,3.2,2.8
0,40,3.25,3.2,3.6,3.2,3.333333333,1.75,5.15,4.6,0.55,2,2.2,1.8
0,43,2.75,3,3.2,2.8,3,4.125,4.4,5.5,-1.1,1.7,2,1.4
0,49,3.25,2.8,3.8,3,3.333333333,3.75,4.15,5.35,-1.2,3.2,3.2,3.2
0,39,2.75,2,2.4,2.4,2.222222222,2,4.8,5.1,-0.3,2.7,3,2.4
0,34,3,3.6,3,3.2,3.222222222,4.75,5.7,3.85,1.85,3.2,3.8,2.6
0,39,1,1,1,1,1,1.75,4.8,5.35,-0.55,3.3,3.6,3
0,43,3.75,3,2.4,3.2,2.777777778,4,3.9,5.35,-1.45,3.1,3.4,2.8
0,41,2.5,2.2,2,2.6,1.888888889,2.125,5.5,5.4,0.1,3.3,3.6,3
0,37,2,2,2.2,2,2.111111111,2,3.55,5.1,-1.55,3.5,3.8,3.2
0,38,2.25,2.2,2,2.4,2,2.75,4.2,5.5,-1.3,1.7,2.2,1.2
0,41,1,2,1.2,1.4,1.555555556,2.75,5.1,5.45,-0.35,3.2,3.8,2.6
